X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,GSLO,GSHI,VIRTUAL,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,TOTAL,MEMBER,AM,HI,BL,WH,HP,TR,FTE,LATCOD,LONCOD,ULOCALE,NMCNTY,STUTERATIO,TITLEI,STITLEI,AMALM,AMALF,ASALM,ASALF,HIALM,HIALF,BLALM,BLALF,WHALM,WHALF,HPALM,HPALF,TRALM,TRALF,TOTMENROL,TOTFENROL,STATUS,UG,AE,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL,AS,CHARTER_TEXT,MAGNET_TEXT
-17759990.648,8760865.3742,48,020076000346,2018-2019,AK,0200760,AK-29,Kuspuk School District,Auntie Mary Nicoli Elementary,200 Boundary Ave,?,Aniak,AK,99557,    ,(907)675-4363,PK,05,Not Virtual,79,79,0,15,8,7,10,15,14,15,?,?,?,?,?,?,?,?,84,84,79,0,0,4,0,1,0.0700000002980232,61.582634,-159.540751,43-Rural: Remote,Bethel Census Area,1200,1-Yes,1-Yes,35,44,0,0,0,0,0,0,3,1,0,0,1,0,39,45,1,?,?,Regular school,Currently operational ,Elementary,0,No,No
-17727540.5816,8758667.0092,49,020076000347,2018-2019,AK,0200760,AK-29,Kuspuk School District,Crow Village Sam School,202 Blueberry Hill,?,Chuathbaluk,AK,99557,    ,(907)467-4229,PK,12,Not Virtual,27,27,0,4,2,2,5,1,5,1,0,1,2,1,1,0,1,?,26,26,26,0,0,0,0,0,0.0399999991059303,61.573296,-159.249298,43-Rural: Remote,Bethel Census Area,650,1-Yes,1-Yes,13,13,0,0,0,0,0,0,0,0,0,0,0,0,13,13,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17600933.6851,8828309.9941,50,020076000348,2018-2019,AK,0200760,AK-29,Kuspuk School District,Johnnie John Sr. School,203 Mountville Dr,?,Crooked Creek,AK,99575,    ,(907)432-2205,PK,12,Not Virtual,23,23,0,4,0,3,2,1,1,2,3,3,0,2,0,2,0,?,23,23,23,0,0,0,0,0,0.600000023841858,61.869667,-158.11188,43-Rural: Remote,Bethel Census Area,38.3,1-Yes,1-Yes,12,11,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17851361.773,8744365.3633,51,020076000350,2018-2019,AK,0200760,AK-29,Kuspuk School District,Zackar Levi Elementary,208 Beach Front Rd,?,Lower Kalskag,AK,99626,    ,(907)471-2318,03,05,Not Virtual,44,44,0,?,?,?,?,11,14,19,?,?,?,?,?,?,?,?,44,44,43,0,0,1,0,0,0.0299999993294477,61.512124,-160.361542,43-Rural: Remote,Bethel Census Area,1466.7,1-Yes,1-Yes,22,21,0,0,0,0,0,0,1,0,0,0,0,0,23,21,1,?,?,Regular school,Currently operational ,Elementary,0,No,No
-17496170.7928,8788988.9534,52,020076000352,2018-2019,AK,0200760,AK-29,Kuspuk School District,Jack Egnaty Sr. School,206 River Bend Rd,?,Sleetmute,AK,99668,    ,(907)449-4216,PK,12,Not Virtual,21,21,0,4,1,4,2,2,1,3,0,1,1,0,0,0,2,?,21,21,19,0,0,2,0,0,2,61.70259,-157.170756,43-Rural: Remote,Bethel Census Area,10.5,1-Yes,1-Yes,5,14,0,0,0,0,0,0,0,2,0,0,0,0,5,16,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17431338.604,8808838.3508,53,020076000353,2018-2019,AK,0200760,AK-29,Kuspuk School District,Gusty Michael School,205 Elbow Rd,?,Stony River,AK,99557,    ,(907)537-3225,PK,12,Not Virtual,13,13,0,2,0,2,2,1,3,2,0,0,0,0,1,0,0,?,13,13,13,0,0,0,0,0,0.0199999995529652,61.787082,-156.588355,43-Rural: Remote,Bethel Census Area,650,1-Yes,1-Yes,8,5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17846184.4383,8750436.1976,54,020076000491,2018-2019,AK,0200760,AK-29,Kuspuk School District,Joseph S. & Olinga Gregory Elementary,207 Kusko River Rd,?,Kalskag,AK,99607,    ,(907)471-2289,PK,02,Not Virtual,70,70,0,24,14,17,16,?,?,?,?,?,?,?,?,?,?,?,71,71,66,0,0,1,0,4,0.0399999991059303,61.538147,-160.315055,43-Rural: Remote,Bethel Census Area,1775,1-Yes,1-Yes,38,28,0,0,0,0,0,0,0,1,0,0,1,3,39,32,1,?,?,Regular school,Currently operational ,Elementary,0,No,No
-17761200.0517,8760308.5824,55,020076000663,2018-2019,AK,0200760,AK-29,Kuspuk School District,Aniak Jr/Sr High School,201 High School Rd,?,Aniak,AK,99557,    ,(907)675-4330,06,12,Not Virtual,38,38,0,?,?,?,?,?,?,?,13,5,10,5,4,4,5,?,46,46,42,0,0,4,0,0,0.0599999986588955,61.580187,-159.551624,43-Rural: Remote,Bethel Census Area,766.7,1-Yes,1-Yes,25,17,0,0,0,0,0,0,2,2,0,0,0,0,27,19,1,?,?,Regular school,Currently operational ,High,0,No,No
-17849744.7052,8749124.6953,56,020076000665,2018-2019,AK,0200760,AK-29,Kuspuk School District,George Morgan Sr. H.S.,209 Airport Rd,?,Kalskag,AK,99607,    ,(907)471-2288,06,12,Not Virtual,71,71,0,?,?,?,?,?,?,?,14,5,6,16,10,9,11,?,71,71,70,0,0,1,0,0,1.03999996185303,61.532419,-160.347052,43-Rural: Remote,Bethel Census Area,68.3,1-Yes,1-Yes,37,33,0,0,0,0,0,0,1,0,0,0,0,0,38,33,1,?,?,Regular school,Currently operational ,High,0,No,No
-17477669.6347,8122959.6417,57,020003000020,2018-2019,AK,0200030,AK-08,Bristol Bay Borough School District,Bristol Bay Middle/High School,#2 School Road North,?,Naknek,AK,99633,    ,(907)246-4265,07,12,Supplemental Virtual,50,50,0,?,?,?,?,?,?,?,?,8,5,11,6,8,12,?,50,50,35,0,0,11,0,2,4.92000007629395,58.733307,-157.004582,43-Rural: Remote,Bristol Bay Borough,10.2,1-Yes,1-Yes,14,21,1,1,0,0,0,0,8,3,0,0,1,1,24,26,1,?,?,Regular school,Currently operational ,High,2,No,No
-17477669.6347,8122959.6417,58,020003000626,2018-2019,AK,0200030,AK-08,Bristol Bay Borough School District,Naknek Elementary,#2 School Rd North,?,Naknek,AK,99633,    ,(907)246-4265,PK,06,Supplemental Virtual,53,53,0,0,7,8,10,5,8,6,9,?,?,?,?,?,?,?,53,53,39,1,4,5,0,4,4.55000019073486,58.733307,-157.004582,43-Rural: Remote,Bristol Bay Borough,11.6,1-Yes,1-Yes,25,14,0,0,0,1,2,2,0,5,0,0,4,0,31,22,1,?,?,Regular school,Currently operational ,Elementary,0,No,No
-17440422.7201,8114599.3306,59,020048500473,2018-2019,AK,0200485,AK-30,Lake and Peninsula Borough School District,Lakeview Home School,Jensen Dr,?,King Salmon,AK,99613,    ,(907)246-4280,KG,12,Not Virtual,-9,-9,-9,?,0,0,0,0,0,0,0,0,0,0,0,1,0,?,1,1,1,0,0,0,0,0,0.0500000007450581,58.694199,-156.669991,43-Rural: Remote,Bristol Bay Borough,20,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17640463.519,8189838.3871,60,020012000042,2018-2019,AK,0200120,AK-15,Dillingham City School District,Dillingham Elementary,565 Seward St,?,Dillingham,AK,99576,    ,(907)842-5642,PK,05,Not Virtual,242,242,0,4,37,32,47,33,39,46,?,?,?,?,?,?,?,?,238,238,130,7,0,34,0,66,18.5,59.043634,-158.466969,43-Rural: Remote,Dillingham Census Area,12.9,1-Yes,1-Yes,60,70,0,1,3,4,0,0,16,18,0,0,29,37,108,130,1,?,?,Regular school,Currently operational ,Elementary,1,No,No
-17640218.9205,8189574.2156,61,020012000634,2018-2019,AK,0200120,AK-15,Dillingham City School District,Dillingham Middle/High School,565 Seward St,?,Dillingham,AK,99576,    ,(907)842-5221,06,12,Not Virtual,230,230,0,?,?,?,?,?,?,?,31,34,34,29,36,17,43,?,224,224,115,4,0,24,1,80,19.7299995422363,59.042379,-158.464858,43-Rural: Remote,Dillingham Census Area,11.4,1-Yes,1-Yes,63,52,0,0,2,2,0,0,11,13,1,0,39,41,116,108,1,?,?,Regular school,Currently operational ,High,0,No,No
-17658210.4983,8241439.0191,62,020071000330,2018-2019,AK,0200710,AK-45,Southwest Region School District,Aleknagik School,127 Lake St,?,Aleknagik,AK,99555,    ,(907)842-5681,PK,12,Not Virtual,14,14,0,1,2,1,0,4,1,1,1,1,2,3,3,4,0,?,24,24,21,1,0,0,0,2,4,59.281235,-158.626406,43-Rural: Remote,Dillingham Census Area,6,1-Yes,1-Yes,14,7,0,0,1,0,0,0,0,0,0,0,0,2,15,9,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17649038.0549,8144879.5683,63,020071000331,2018-2019,AK,0200710,AK-45,Southwest Region School District,Clarks Point School,29 Sagayak Ave,?,Clarks Point,AK,99569,    ,(907)236-1218,KG,12,Not Virtual,8,8,0,?,3,4,1,1,2,2,0,0,1,1,0,0,0,?,15,15,14,0,0,1,0,0,1.75,58.835283,-158.544016,43-Rural: Remote,Dillingham Census Area,8.6,1-Yes,1-Yes,8,6,0,0,0,0,0,0,0,1,0,0,0,0,8,7,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17508985.0359,8339096.5676,64,020071000333,2018-2019,AK,0200710,AK-45,Southwest Region School District,Koliganek School,5052 Nushgak Way,?,Koliganek,AK,99576,    ,(907)596-3444,KG,12,Not Virtual,62,62,0,?,4,6,5,6,1,5,5,5,5,5,1,4,1,?,53,53,51,0,0,0,0,2,5.5,59.726411,-157.285912,43-Rural: Remote,Dillingham Census Area,9.6,1-Yes,1-Yes,32,19,0,0,0,0,0,0,0,0,0,0,1,1,33,20,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17694825.5335,8173016.1873,65,020071000335,2018-2019,AK,0200710,AK-45,Southwest Region School District,Manokotak School,130 Heights Rd,?,Manokotak,AK,99628,    ,(907)289-1013,PK,12,Not Virtual,130,130,0,6,9,14,10,9,9,10,11,8,7,10,10,5,9,?,127,127,124,0,0,2,0,1,12.5,58.965845,-158.955297,43-Rural: Remote,Dillingham Census Area,10.2,1-Yes,1-Yes,63,61,0,0,0,0,0,0,1,1,0,0,1,0,65,62,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17511879.4514,8278401.0438,66,020071000336,2018-2019,AK,0200710,AK-45,Southwest Region School District,Chief Ivan Blunka School,29 Old Airport Way,?,New Stuyahok,AK,99636,    ,(907)693-3144,PK,12,Not Virtual,132,132,0,4,11,18,4,13,11,15,9,6,10,7,8,2,15,?,133,133,129,0,0,0,0,4,11.6000003814697,59.450367,-157.311933,43-Rural: Remote,Dillingham Census Area,11.5,1-Yes,1-Yes,71,58,0,0,0,0,0,0,0,0,0,0,3,1,74,59,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17858441.5404,8192480.6185,67,020071000338,2018-2019,AK,0200710,AK-45,Southwest Region School District,Togiak School,50 Togiak School an,?,Togiak,AK,99678,    ,(907)493-5829,PK,12,Not Virtual,213,213,0,0,23,19,18,25,17,14,22,15,19,20,7,5,9,?,213,213,205,0,0,1,0,7,18.8500003814697,59.055898,-160.425249,43-Rural: Remote,Dillingham Census Area,11.3,1-Yes,1-Yes,94,111,0,0,0,0,0,0,0,1,0,0,4,3,98,115,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17530224.3382,8256350.9892,68,020071000465,2018-2019,AK,0200710,AK-45,Southwest Region School District,William "Sonny" Nelson School,#5 Ekwok School Rd,?,Ekwok,AK,99580,    ,(907)464-3344,PK,12,Not Virtual,16,16,0,0,3,1,1,2,3,0,0,4,2,0,0,0,0,?,16,16,13,1,0,0,0,2,2,59.349757,-157.476732,43-Rural: Remote,Dillingham Census Area,8,1-Yes,1-Yes,7,6,0,0,0,1,0,0,0,0,0,0,0,2,7,9,1,?,?,Regular school,Currently operational ,Other,0,No,No
