@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.unsupervised.instance.Resample-S1-Z2.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3,5,9-13,15,47-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,10-36,38,41-42,44-49,51-57,59,61'

@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute GSLO {PK,09,KG,07,'M ',03,08,05,06,10,02,04,01,12,'N ',UG,11,AE}
@attribute GSHI {05,12,06,02,08,01,07,09,04,03,KG,10,PK,11,'N ',UG,13,AE}
@attribute VIRTUAL {'Not Virtual','Supplemental Virtual','Virtual with face to face options',N,M,'Full Virtual'}
@attribute ULOCALE {City,Suburb,Town,Rural}
@attribute TITLEI {1-Yes,'Not Applicable',Missing}
@attribute STITLEI {1-Yes,'Not Applicable',2-No,Missing}
@attribute ASALM numeric
@attribute WHALF numeric
@attribute SCHOOL_TYPE_TEXT {'Regular school','Alternative/other school','Special education school','Vocational school'}
@attribute SCHOOL_LEVEL {Elementary,High,Other,'Not reported',Middle,Secondary,Prekindergarten,'Not applicable',Ungraded,'Adult Education'}
@attribute CHARTER_TEXT {No,Yes,Missing}
@attribute MAGNET_TEXT {No,Missing,Yes,'Not Applicable'}

@data
SC,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',6,247,'Regular school',Elementary,No,No
TX,06,08,'Not Virtual',Rural,1-Yes,1-Yes,5,112,'Regular school',Middle,No,No
CA,09,12,'Supplemental Virtual',City,1-Yes,2-No,1092,207,'Regular school',High,No,No
NJ,PK,08,'Not Virtual',Suburb,1-Yes,2-No,2,50,'Regular school',Elementary,No,Missing
NY,02,06,'Not Virtual',Suburb,1-Yes,1-Yes,14,145,'Regular school',Elementary,No,No
NE,07,12,'Not Virtual',Town,'Not Applicable','Not Applicable',1,105,'Regular school',High,Missing,Missing
OR,KG,05,'Not Virtual',Town,1-Yes,1-Yes,0,66,'Regular school',Elementary,No,Missing
MI,KG,05,'Not Virtual',City,1-Yes,1-Yes,23,57,'Regular school',Elementary,No,No
VA,09,12,'Supplemental Virtual',Suburb,'Not Applicable','Not Applicable',33,242,'Regular school',High,No,No
TX,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,0,'Regular school',Elementary,No,No
NY,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',10,119,'Regular school',Elementary,No,No
TX,09,12,'Not Virtual',Rural,1-Yes,1-Yes,0,5,'Regular school',High,No,No
VA,PK,05,'Not Virtual',Town,'Not Applicable','Not Applicable',4,270,'Regular school',Elementary,No,No
FL,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',20,352,'Regular school',Elementary,No,No
TX,KG,04,'Not Virtual',City,1-Yes,1-Yes,42,123,'Regular school',Elementary,No,No
TX,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,48,109,'Regular school',High,No,No
CO,PK,05,'Not Virtual',City,1-Yes,1-Yes,3,23,'Regular school',Elementary,No,No
FL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,2,4,'Regular school',Elementary,No,No
NC,09,12,'Supplemental Virtual',Rural,1-Yes,1-Yes,6,363,'Regular school',High,No,No
OR,KG,05,'Not Virtual',City,1-Yes,1-Yes,4,209,'Regular school',Elementary,No,Missing
GA,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,9,438,'Regular school',High,No,No
AZ,KG,06,'Not Virtual',Suburb,1-Yes,2-No,10,238,'Regular school',Elementary,No,'Not Applicable'
NY,09,12,'Not Virtual',Suburb,1-Yes,2-No,106,856,'Regular school',High,No,No
CA,09,12,'Supplemental Virtual',Suburb,'Not Applicable','Not Applicable',320,501,'Regular school',High,No,No
TX,07,12,'Not Virtual',Rural,1-Yes,1-Yes,0,85,'Regular school',High,No,No
PA,06,08,'Not Virtual',Rural,1-Yes,2-No,0,104,'Regular school',Middle,No,No
OH,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,7,167,'Regular school',Elementary,No,'Not Applicable'
NY,06,08,'Not Virtual',Suburb,1-Yes,2-No,18,269,'Regular school',Middle,No,No
TX,03,05,'Not Virtual',Rural,1-Yes,1-Yes,0,42,'Regular school',Elementary,No,No
TX,07,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',25,379,'Regular school',Middle,No,No
NC,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,0,53,'Regular school',Elementary,No,No
OR,KG,05,'Not Virtual',City,'Not Applicable','Not Applicable',0,14,'Regular school',Elementary,Yes,Missing
GA,PK,05,'Not Virtual',City,1-Yes,1-Yes,1,20,'Regular school',Elementary,No,No
NY,KG,08,'Not Virtual',Rural,1-Yes,2-No,2,78,'Regular school',Elementary,No,No
CA,KG,06,'Not Virtual',Suburb,'Not Applicable','Not Applicable',32,143,'Regular school',Elementary,No,No
MI,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,3,163,'Regular school',Elementary,No,No
FL,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,5,41,'Regular school',Elementary,No,No
NE,01,02,'Not Virtual',Town,1-Yes,1-Yes,5,67,'Regular school',Elementary,Missing,Missing
TX,PK,06,'Not Virtual',Suburb,1-Yes,1-Yes,7,13,'Regular school',Elementary,No,No
PA,KG,06,'Not Virtual',City,1-Yes,1-Yes,1,156,'Regular school',Elementary,No,No
CA,09,12,'Supplemental Virtual',City,'Not Applicable','Not Applicable',96,689,'Regular school',High,No,No
TX,02,05,'Not Virtual',Rural,1-Yes,1-Yes,0,28,'Regular school',Elementary,No,No
TX,06,08,'Not Virtual',City,1-Yes,1-Yes,1,9,'Regular school',Middle,No,No
NY,07,12,'Not Virtual',Suburb,1-Yes,1-Yes,23,25,'Regular school',High,No,Yes
FL,06,12,'Not Virtual',City,'Not Applicable','Not Applicable',1,0,'Alternative/other school',High,No,No
TX,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,10,267,'Regular school',Middle,No,No
TX,PK,04,'Not Virtual',Suburb,'Not Applicable','Not Applicable',25,145,'Regular school',Elementary,No,No
PA,09,12,'Not Virtual',Suburb,1-Yes,2-No,2,267,'Regular school',High,No,No
FL,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,3,11,'Regular school',Middle,No,Yes
OH,09,12,'Not Virtual',Rural,1-Yes,2-No,0,288,'Regular school',High,No,'Not Applicable'
FL,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,5,138,'Regular school',Middle,No,No
TX,03,05,'Not Virtual',Rural,1-Yes,1-Yes,0,123,'Regular school',Elementary,No,No
OR,KG,05,'Not Virtual',City,'Not Applicable','Not Applicable',6,113,'Regular school',Elementary,No,Missing
OR,KG,05,'Not Virtual',City,1-Yes,1-Yes,15,118,'Regular school',Elementary,No,Missing
SC,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,180,'Regular school',Elementary,No,No
UT,10,12,'Not Virtual',City,'Not Applicable','Not Applicable',7,434,'Regular school',High,No,No
MI,06,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',4,269,'Regular school',Middle,No,Yes
AL,03,06,'Not Virtual',Suburb,1-Yes,1-Yes,0,6,'Regular school',Elementary,No,No
NE,PK,PK,'Not Virtual',Rural,'Not Applicable','Not Applicable',0,9,'Regular school',Prekindergarten,Missing,Missing
MI,06,08,'Not Virtual',Rural,'Not Applicable','Not Applicable',4,213,'Regular school',Middle,No,No
MI,KG,04,'Not Virtual',Suburb,1-Yes,1-Yes,6,116,'Regular school',Elementary,No,No
AL,09,12,'Not Virtual',Town,'Not Applicable','Not Applicable',0,119,'Regular school',High,No,No
VA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,19,37,'Regular school',Elementary,No,No
PA,09,12,'Not Virtual',Suburb,1-Yes,2-No,3,430,'Regular school',High,No,No
AZ,06,08,'Not Virtual',City,1-Yes,2-No,23,228,'Regular school',Middle,No,'Not Applicable'
VA,09,12,'Supplemental Virtual',Rural,'Not Applicable','Not Applicable',0,180,'Regular school',High,No,No
ID,KG,08,'Not Virtual',Suburb,1-Yes,1-Yes,0,112,'Regular school',Elementary,Yes,No
AZ,06,08,'Not Virtual',Town,1-Yes,1-Yes,6,158,'Regular school',Middle,No,'Not Applicable'
NY,09,12,'Not Virtual',City,1-Yes,1-Yes,4,3,'Regular school',High,Yes,No
VA,PK,05,'Not Virtual',City,1-Yes,1-Yes,3,41,'Regular school',Elementary,No,No
UT,PK,06,'Not Virtual',City,1-Yes,1-Yes,3,201,'Regular school',Elementary,No,No
NY,KG,05,'Not Virtual',City,1-Yes,1-Yes,601,26,'Regular school',Elementary,No,No
CA,09,12,'Not Virtual',Town,1-Yes,1-Yes,44,300,'Regular school',High,No,No
OH,PK,08,'Not Virtual',Rural,1-Yes,1-Yes,0,201,'Regular school',Elementary,No,'Not Applicable'
AL,PK,04,'Not Virtual',Town,1-Yes,1-Yes,9,247,'Regular school',Elementary,No,No
FL,06,08,'Not Virtual',City,1-Yes,1-Yes,22,99,'Regular school',Middle,No,Yes
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,1,'Regular school',Elementary,No,No
GA,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',1,123,'Regular school',Elementary,No,No
GA,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,2,215,'Regular school',Elementary,No,No
NY,06,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',37,396,'Regular school',Middle,No,No
VA,07,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',140,127,'Regular school',Middle,No,No
AZ,09,12,'Not Virtual',Suburb,1-Yes,2-No,35,397,'Regular school',High,No,'Not Applicable'
FL,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,2,'Regular school',Elementary,Yes,No
PA,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,2,340,'Regular school',Elementary,No,No
PA,KG,03,'Not Virtual',Suburb,1-Yes,1-Yes,0,98,'Regular school',Elementary,No,No
TX,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',540,627,'Regular school',High,No,No
TX,PK,12,'Not Virtual',City,'Not Applicable','Not Applicable',4,20,'Alternative/other school',Other,No,No
VA,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',0,127,'Regular school',Elementary,No,No
MI,PK,08,'Not Virtual',City,1-Yes,1-Yes,0,3,'Regular school',Elementary,No,No
FL,PK,08,'Not Virtual',City,1-Yes,1-Yes,0,36,'Regular school',Elementary,Yes,No
AK,PK,06,'Not Virtual',City,1-Yes,1-Yes,6,57,'Regular school',Elementary,No,No
GA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,1,7,'Regular school',Elementary,No,No
MT,07,08,'Supplemental Virtual',Rural,1-Yes,2-No,0,9,'Regular school',Middle,Missing,Missing
FL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,25,264,'Regular school',Elementary,No,No
NC,09,12,'Supplemental Virtual',Rural,1-Yes,1-Yes,0,243,'Regular school',High,No,No
WA,09,12,'Supplemental Virtual',Suburb,1-Yes,1-Yes,67,232,'Regular school',High,No,No
MT,PK,06,'Not Virtual',Rural,1-Yes,2-No,0,34,'Regular school',Elementary,Missing,Missing
VA,06,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',7,227,'Regular school',Middle,No,No
CA,KG,06,'Not Virtual',City,1-Yes,1-Yes,24,17,'Regular school',Elementary,No,No
NY,KG,06,'Not Virtual',Suburb,1-Yes,1-Yes,3,82,'Regular school',Elementary,No,No
WA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,10,34,'Regular school',Elementary,No,No
OH,KG,05,'Not Virtual',Suburb,1-Yes,2-No,3,172,'Regular school',Elementary,No,'Not Applicable'
TX,KG,12,'Not Virtual',City,'Not Applicable','Not Applicable',0,4,'Alternative/other school',Other,No,No
OR,KG,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',12,148,'Regular school',Elementary,No,Missing
NY,KG,03,'Not Virtual',Town,1-Yes,1-Yes,1,30,'Regular school',Elementary,No,No
TX,KG,05,'Not Virtual',Town,1-Yes,1-Yes,2,82,'Regular school',Elementary,No,No
OR,KG,05,'Not Virtual',Town,1-Yes,1-Yes,4,161,'Regular school',Elementary,No,Missing
FL,06,12,'Not Virtual',Suburb,1-Yes,1-Yes,0,1,'Special education school',High,No,No
NM,07,08,'Not Virtual',Rural,1-Yes,1-Yes,0,0,'Regular school',Middle,No,No
CO,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,4,194,'Regular school',Elementary,No,No
NC,KG,06,'Not Virtual',Rural,1-Yes,1-Yes,1,199,'Regular school',Elementary,No,No
VA,04,05,'Not Virtual',Suburb,1-Yes,1-Yes,4,59,'Regular school',Elementary,No,No
PA,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',13,448,'Regular school',High,No,No
NY,KG,12,'Not Virtual',Rural,1-Yes,1-Yes,0,136,'Regular school',Other,No,No
OH,05,08,'Not Virtual',Suburb,1-Yes,2-No,7,181,'Regular school',Middle,No,'Not Applicable'
NC,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',2,205,'Regular school',Elementary,No,No
WA,KG,05,'Not Virtual',City,1-Yes,1-Yes,10,167,'Regular school',Elementary,No,No
FL,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,0,288,'Regular school',Elementary,No,No
TX,03,05,'Not Virtual',Suburb,1-Yes,1-Yes,1,40,'Regular school',Elementary,No,No
GA,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,9,'Regular school',Elementary,No,No
ID,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,0,22,'Regular school',Elementary,No,No
PA,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',1,504,'Regular school',High,No,No
NY,PK,05,'Not Virtual',City,1-Yes,1-Yes,1,14,'Regular school',Elementary,No,No
FL,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,59,265,'Regular school',High,No,Yes
TX,06,09,'Not Virtual',City,1-Yes,1-Yes,3,9,'Regular school',Middle,No,No
TX,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,28,305,'Regular school',Middle,No,No
AK,KG,12,'Not Virtual',Rural,1-Yes,1-Yes,0,0,'Regular school',Other,No,No
FL,PK,PK,'Not Virtual',Town,'Not Applicable','Not Applicable',0,7,'Regular school',Prekindergarten,No,No
FL,06,08,'Not Virtual',City,1-Yes,1-Yes,3,20,'Regular school',Middle,No,Yes
PA,KG,01,'Not Virtual',Town,1-Yes,1-Yes,1,106,'Regular school',Elementary,No,No
FL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,15,59,'Regular school',Elementary,No,No
CO,PK,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',193,886,'Regular school',Elementary,Yes,No
TX,08,12,'Not Virtual',Rural,1-Yes,1-Yes,0,34,'Regular school',High,No,No
FL,PK,05,'Not Virtual',City,1-Yes,1-Yes,3,103,'Regular school',Elementary,No,No
NY,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,1,118,'Regular school',Elementary,No,No
OH,06,08,'Not Virtual',Suburb,1-Yes,2-No,11,253,'Regular school',Middle,No,'Not Applicable'
NY,KG,05,'Not Virtual',City,1-Yes,1-Yes,1,8,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,4,'Regular school',Elementary,No,No
AL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,1,52,'Regular school',Elementary,No,No
NY,KG,05,'Not Virtual',Suburb,1-Yes,2-No,32,159,'Regular school',Elementary,No,No
KS,PK,06,'Not Virtual',Suburb,'Not Applicable','Not Applicable',14,197,'Regular school',Elementary,No,No
FL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,23,174,'Regular school',Elementary,No,No
NY,09,12,'Not Virtual',City,1-Yes,1-Yes,33,23,'Vocational school',High,No,No
UT,PK,06,'Not Virtual',Suburb,'Not Applicable','Not Applicable',1,330,'Regular school',Elementary,No,No
RI,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',9,421,'Regular school',High,No,Missing
UT,KG,06,'Not Virtual',Suburb,'Not Applicable','Not Applicable',3,115,'Regular school',Elementary,No,No
OH,05,08,'Not Virtual',Rural,1-Yes,1-Yes,2,198,'Regular school',Middle,No,'Not Applicable'
NY,KG,05,'Not Virtual',Suburb,1-Yes,2-No,12,76,'Regular school',Elementary,No,No
FL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,17,138,'Regular school',Elementary,No,No
ND,09,12,'Not Virtual',City,'Not Applicable','Not Applicable',13,401,'Regular school',High,Missing,Missing
VA,09,12,'Supplemental Virtual',Suburb,'Not Applicable','Not Applicable',18,171,'Regular school',High,No,No
OH,07,12,'Not Virtual',Rural,1-Yes,2-No,0,212,'Regular school',High,No,'Not Applicable'
NJ,KG,04,'Not Virtual',Suburb,1-Yes,1-Yes,24,12,'Regular school',Elementary,No,Missing
NC,09,10,'Supplemental Virtual',City,'Not Applicable','Not Applicable',0,42,'Regular school',Secondary,No,No
TX,PK,PK,'Not Virtual',Suburb,1-Yes,1-Yes,18,51,'Regular school',Prekindergarten,No,No
NY,06,08,'Not Virtual',City,1-Yes,1-Yes,2,1,'Regular school',Middle,Yes,No
FL,09,12,'Not Virtual',Town,1-Yes,1-Yes,7,506,'Regular school',High,No,No
MI,KG,12,'Not Virtual',Rural,1-Yes,2-No,0,123,'Regular school',Other,No,No
KS,09,12,'Not Virtual',City,1-Yes,2-No,96,494,'Regular school',High,No,No
TX,06,08,'Not Virtual',Town,1-Yes,1-Yes,0,35,'Regular school',Middle,No,No
SD,KG,08,'Not Virtual',Rural,1-Yes,1-Yes,0,10,'Regular school',Elementary,No,Missing
FL,06,08,'Not Virtual',Suburb,1-Yes,2-No,3,201,'Regular school',Middle,No,No
SD,06,08,'Not Virtual',Rural,1-Yes,1-Yes,0,29,'Regular school',Middle,No,Missing
TX,KG,05,'Not Virtual',City,'Not Applicable','Not Applicable',68,145,'Regular school',Elementary,Yes,No
MO,KG,05,'Not Virtual',Town,1-Yes,1-Yes,10,267,'Regular school',Elementary,No,No
GA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,10,3,'Regular school',Elementary,No,No
NY,PK,05,'Not Virtual',City,1-Yes,1-Yes,226,71,'Regular school',Elementary,No,No
PA,KG,03,'Not Virtual',Rural,1-Yes,1-Yes,1,261,'Regular school',Elementary,No,No
TX,06,08,'Not Virtual',Rural,'Not Applicable','Not Applicable',62,216,'Regular school',Middle,No,No
MI,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,0,70,'Regular school',Elementary,No,No
MO,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,62,'Regular school',Elementary,No,No
IL,09,12,'Not Virtual',City,1-Yes,2-No,47,267,'Regular school',High,No,No
CA,09,12,'Not Virtual',Suburb,1-Yes,2-No,141,287,'Regular school',High,No,No
GA,09,12,'Not Virtual',Rural,'Not Applicable','Not Applicable',7,292,'Regular school',High,No,No
AL,04,06,'Not Virtual',Town,1-Yes,1-Yes,1,206,'Regular school',Middle,No,No
TX,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',5,189,'Regular school',Elementary,No,No
FL,PK,05,'Not Virtual',City,1-Yes,1-Yes,2,104,'Regular school',Elementary,No,Yes
OR,KG,05,'Not Virtual',Rural,1-Yes,1-Yes,0,121,'Regular school',Elementary,No,Missing
FL,PK,05,'Not Virtual',City,1-Yes,1-Yes,1,150,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,42,90,'Regular school',Elementary,No,No
NC,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,191,'Regular school',Elementary,No,No
CA,10,12,'Not Virtual',Suburb,1-Yes,1-Yes,2,5,'Alternative/other school',High,No,No
CA,KG,08,'Not Virtual',City,'Not Applicable','Not Applicable',203,16,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,0,17,'Regular school',Elementary,No,No
OH,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,17,225,'Regular school',Middle,No,'Not Applicable'
AL,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,0,'Regular school',Elementary,No,Yes
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,0,'Regular school',Elementary,No,No
MD,09,12,'Not Virtual',City,1-Yes,1-Yes,25,347,'Regular school',High,No,Yes
NJ,05,06,'Not Virtual',Suburb,1-Yes,2-No,3,88,'Regular school',Middle,No,Missing
NV,PK,05,'Not Virtual',City,'Not Applicable','Not Applicable',13,200,'Regular school',Elementary,No,No
VA,09,12,'Supplemental Virtual',City,'Not Applicable','Not Applicable',81,361,'Regular school',High,No,No
UT,PK,06,'Not Virtual',Suburb,'Not Applicable','Not Applicable',4,189,'Regular school',Elementary,No,No
TX,KG,08,'Not Virtual',City,1-Yes,1-Yes,0,20,'Regular school',Elementary,Yes,No
TX,04,06,'Not Virtual',Rural,1-Yes,1-Yes,2,216,'Regular school',Middle,No,No
GA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,6,34,'Regular school',Elementary,No,No
CA,KG,12,'Supplemental Virtual',Suburb,'Not Applicable','Not Applicable',0,4,'Regular school',Other,Yes,Yes
PA,06,08,'Not Virtual',Suburb,1-Yes,2-No,14,320,'Regular school',Middle,No,No
NY,06,11,'Not Virtual',Suburb,'Not Applicable','Not Applicable',0,4,'Special education school',Secondary,No,No
CA,07,08,'Not Virtual',Suburb,1-Yes,2-No,60,231,'Regular school',Middle,No,No
NE,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,0,49,'Regular school',Elementary,Missing,Missing
NY,PK,05,'Not Virtual',City,1-Yes,1-Yes,1,8,'Regular school',Elementary,No,No
WA,PK,05,'Not Virtual',City,1-Yes,2-No,2,117,'Regular school',Elementary,No,No
MI,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',0,25,'Regular school',High,Yes,No
OH,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,7,148,'Regular school',Middle,No,'Not Applicable'
NY,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',32,181,'Regular school',High,No,No
PA,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,6,73,'Regular school',Elementary,No,No
OH,KG,06,'Not Virtual',Town,1-Yes,1-Yes,0,183,'Regular school',Elementary,No,'Not Applicable'
VA,KG,05,'Not Virtual',Town,1-Yes,1-Yes,6,99,'Regular school',Elementary,No,No
NY,PK,05,'Not Virtual',City,1-Yes,1-Yes,7,6,'Regular school',Elementary,No,No
FL,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,36,171,'Regular school',High,No,Yes
GA,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,3,67,'Regular school',Middle,No,No
MO,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,1,29,'Vocational school',High,No,No
GA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,83,56,'Regular school',Elementary,No,No
TX,KG,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',52,36,'Alternative/other school',Elementary,Yes,No
UT,PK,KG,'Not Virtual',City,'Not Applicable','Not Applicable',0,21,'Special education school',Elementary,No,No
NJ,PK,KG,'Not Virtual',Suburb,'Not Applicable','Not Applicable',23,4,'Regular school',Elementary,No,Missing
TX,PK,05,'Not Virtual',City,'Not Applicable','Not Applicable',10,156,'Regular school',Elementary,No,No
OH,PK,05,'Not Virtual',Rural,1-Yes,2-No,0,232,'Regular school',Elementary,No,'Not Applicable'
ID,03,05,'Not Virtual',Town,1-Yes,1-Yes,0,81,'Regular school',Elementary,No,No
MI,KG,08,'Not Virtual',City,1-Yes,1-Yes,2,1,'Regular school',Elementary,No,No
NY,KG,05,'Not Virtual',City,'Not Applicable','Not Applicable',6,67,'Regular school',Elementary,No,No
NV,PK,04,'Not Virtual',Town,1-Yes,1-Yes,4,137,'Regular school',Elementary,No,No
MO,PK,05,'Not Virtual',Town,1-Yes,2-No,0,253,'Regular school',Elementary,No,No
PA,PK,04,'Not Virtual',Town,1-Yes,1-Yes,0,163,'Regular school',Elementary,No,No
AZ,PK,12,'Not Virtual',Suburb,1-Yes,1-Yes,3,35,'Regular school',Other,No,'Not Applicable'
FL,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,21,241,'Regular school',Middle,No,No
